Folder Name,Additional Info,
chs_tria_01,트라이아,
chs_henesys_01,헤네시스,
chs_ellinia_01,엘리니아,
chs_kerningcity_01,커닝시티,
chs_perion_01,페리온,
chs_lith_01,리스항구,
chs_talisker_a01,탈리스커,
character_timaion01,티마이온,
chs_runeblader_a01,룬블레이더,
chs_soulbinder_a01,소울바인더,
chs_madria_a01,마드리아의 성,
chs_mushking_01,머쉬킹,
chs_birthday,생일,
chs_bloom,벚꽃,
chs_lunarnewyear2018_01,새해 (2018),
chs_newyear2019,새해 (2019),
chs_spring2018,봄 (2018),
character_spring2019,봄 (2019),
chs_summer,여름,
chs_halloween,할로윈 1,
chs_halloween_02,할로윈 2,
chs_christmas_2018,크리스마스 (2018),
chs_china,중국,
chs_chinesenewyear2018_01,중국 새해 (2018),
queens_hall,퀸즈홀,
chromaKeyGreen,크로마키(그린),
chromaKeyBlue,크로마키(블루),
